CaZy	Bin.126
CBM13	1
CBM20	1
CBM48	1
CBM50	4
CBM6	2
CE1	1
CE11	1
CE12	1
CE2	1
CE4	1
CE6	1
CE7	1
CE8	1
GH10	1
GH105	3
GH115	3
GH127	2
GH13	2
GH130	1
GH133	1
GH16	1
GH2	8
GH23	1
GH24	1
GH25	2
GH26	3
GH28	4
GH3	4
GH31	2
GH35	1
GH43	13
GH51	4
GH53	1
GH57	1
GH63	1
GH67	1
GH78	1
GH89	1
GH92	3
GH94	1
GH95	1
GH97	3
GT0	2
GT11	1
GT19	1
GT2	10
GT28	1
GT3	1
GT35	1
GT4	3
GT5	1
GT51	3
GT83	1
GT9	1
