Sample	Campylobacter	Spirochaeta	Olsenella_sp.	Dechloromonas_aromatica	Planctomycetes	Mycobacterium	Eubacterium_biforme	Acholeplasma	Butyricicoccus	Eggerthella	Rickettsia	Anaeromyxobacter	Anaerolinea	Atopobium	Chroococcales	Prevotella_oralis	Adlercreutzia	Thermodesulfovibrio	Solobacterium	Sphaerochaeta_pleomorpha	Faecalibacterium	Eubacterium	Bacteroides_coprophilus	Euryarchaeota	Thermobacillus	Chloroflexi	Paraprevotella_xylaniphila	Bulleidia	Candidatus	Desulfovibrio_desulfuricans	Faecalibacterium_cf.	Actinobacteria	X.Eubacterium._hallii	Prevotella	Echinicola	Bacteroides_uniformis	Slackia	Leptospira	Eggerthella_sp.	Anaerofustis	Firmicutes	Bacteroidetes.Chlorobi.group	Bacteroides_massiliensis	Clostridium_butyricum	Shuttleworthia	Prevotella_bivia	Prevotella_buccae	Prevotella_copri	Prevotella_dentalis	Prevotella_melaninogenica	Prevotella_multiformis	Prevotella_timonensis	Prevotella_veroralis	Prevotellaceae	Spirochaetaceae	Group	Group1
HU108_S18	9.77E-05	0	9.15E-07	0	4.72E-07	0	0.000308673	1.12E-05	0.000180056	1.34E-05	0	1.09E-06	8.76E-05	1.17E-05	2.60E-06	0	8.46E-06	0	2.76E-06	0	0.012478882	0.012381054	3.23E-05	1.35E-05	5.90E-07	3.44E-06	4.23E-05	8.88E-05	4.49E-05	5.02E-07	0.003122555	0.00169216	0.001251504	0.006250733	0	0.000265205	2.46E-05	1.98E-06	0	3.90E-05	0.156243621	0.008638791	8.55E-05	5.63E-05	4.25E-05	6.72E-05	2.46E-05	0.00410202	4.19E-05	1.90E-05	8.80E-06	1.29E-05	7.12E-05	7.82E-05	0	Human	Bantu
HU109_S19	1.06E-06	0	0	0	2.82E-07	0	0.000473142	3.33E-07	6.37E-05	3.07E-05	0	0	1.36E-05	2.89E-05	0	2.76E-05	4.78E-06	0	0	0	0.190487203	0.006566111	4.27E-05	4.96E-05	4.03E-07	3.58E-06	2.50E-05	1.87E-05	4.88E-06	1.71E-07	0.043541747	0.006877268	0.000666225	0.003115642	0	0.001235031	5.71E-05	0	2.81E-06	0	0.123476323	0.008814411	8.79E-05	3.01E-05	3.92E-06	0.000202287	3.52E-05	0.000313859	9.80E-05	6.33E-05	4.03E-07	2.66E-05	6.06E-05	6.49E-05	0	Human	Bantu
HU114_S27	3.04E-05	8.62E-06	0	0	3.58E-05	0	0.00168219	3.65E-06	0.000621677	0.000233621	0	9.01E-05	2.52E-05	2.17E-05	0	3.15E-06	7.90E-05	0	1.93E-05	0	0.013734568	0.010554404	0.000132085	0.000183316	8.38E-06	2.76E-05	0.000138803	3.49E-05	0.000479621	6.37E-06	0.001696155	0.008683159	0.002405667	0.032016276	0	0.000882011	0.000150043	3.62E-05	9.92E-06	3.31E-05	0.168649089	0.045779303	0.00014597	6.06E-05	5.20E-05	0.000280594	4.86E-05	0.012861947	0.000289745	0.000154725	8.23E-05	3.96E-05	0.000240154	0.000497421	2.93E-05	Human	Bantu
HU115_S28	4.98E-05	9.72E-05	5.21E-06	0	2.82E-05	0	0.005482683	1.17E-05	0.002072236	0.000479475	0	8.72E-05	2.53E-05	7.76E-05	1.10E-06	0	0.000203189	0	0.000393847	0	0.049511939	0.014889754	0.000210284	0.000240611	1.01E-05	4.19E-05	0.000217971	0.000374868	0.000185533	1.33E-05	0.004069036	0.015262735	0.003647735	0.045721724	0	0.0012991	0.000351807	2.30E-05	1.45E-05	4.46E-05	0.193196547	0.043323278	0.000271162	7.71E-05	7.14E-05	0.000177959	8.17E-05	0.036515139	0.000247904	0.00015608	0.000123755	0.000109281	0.000369068	0.00043783	1.11E-05	Human	Bantu
HU119_S20	4.96E-05	4.79E-06	1.48E-06	0	5.63E-06	0	0.006755547	2.50E-06	0.000278483	0.000146692	6.91E-06	7.95E-05	1.03E-05	2.36E-05	4.77E-07	0	5.39E-05	0	0.001308282	0	0.015083031	0.017978198	8.68E-05	0.000184908	2.84E-06	1.31E-05	0.000110359	0.001131909	6.99E-05	8.89E-06	0.003059143	0.005453416	0.001651135	0.029502576	0	0.001996158	7.28E-05	4.53E-07	1.22E-05	8.42E-06	0.121210894	0.025636068	0.000143545	3.22E-05	2.50E-05	0.000299177	7.74E-05	0.024571199	0.000135773	0.00013501	3.75E-05	1.61E-05	0.000382405	0.000229157	7.15E-07	Human	Bantu
HU124_S23	6.92E-05	2.95E-05	4.61E-06	0	1.99E-05	0	0.003910352	4.26E-06	0.000597289	0.000179468	3.61E-06	3.85E-05	1.60E-05	4.34E-05	0	1.48E-05	4.57E-05	0	0.000241415	1.72E-06	0.046030766	0.023402579	0.000442421	0.000248462	4.93E-06	0.000107935	0.000594152	0.000231182	9.67E-05	2.37E-05	0.00623766	0.012635666	0.002910256	0.08784595	0	0.002589215	0.000135024	1.86E-05	8.04E-06	2.94E-05	0.207722813	0.099214857	0.000626968	0.000240195	7.39E-05	0.000709556	0.000180539	0.060707258	0.000537533	0.000354703	9.92E-05	4.48E-05	0.001351812	0.001008786	6.80E-06	Human	Bantu
HU502_S24	2.34E-05	0	0	0	1.21E-07	0	0.000213374	0	4.05E-05	4.76E-06	0	0	1.56E-05	2.07E-06	0	1.21E-05	3.74E-07	0	3.28E-06	0	0.080064498	0.023361152	5.23E-05	3.21E-06	0	7.70E-07	1.47E-06	6.33E-05	2.88E-05	0	0.004595407	0.000209569	0.000450123	0.001652904	0	0.000103883	1.73E-06	0	2.20E-07	0	0.11218688	0.019751942	0.00023952	3.72E-05	5.13E-06	2.80E-06	0.001310633	0.000379897	2.79E-05	1.63E-06	2.37E-06	5.85E-05	1.87E-05	3.45E-05	0	Human	Bantu
HU504_S25	1.47E-05	1.70E-06	0	0	0	0	0.003533316	0	0.00013194	5.50E-05	0	0	9.82E-07	3.48E-06	0	0	1.59E-05	0	3.99E-06	0	0.080657328	0.002627259	0.00014289	2.39E-06	0	1.39E-07	0.000565502	6.45E-06	3.80E-06	0	0.010126237	0.000546726	0.000148601	0.010879109	0	0.004416931	1.79E-05	0	1.01E-06	0	0.03072985	0.043174728	0.001320313	9.84E-06	1.49E-06	1.21E-05	3.29E-05	0.022455099	3.19E-05	7.48E-05	2.86E-05	0.000107056	0.00010057	0.000269371	0	Human	Bantu
HU505_S21	2.36E-06	1.36E-05	2.56E-06	0	6.86E-06	0	0.010713885	3.02E-06	0.000479815	0.000168355	0	1.73E-05	1.52E-05	2.68E-05	0	4.65E-06	4.78E-05	0	0.000171692	0	0.089582962	0.031912704	0.000325159	0.000137516	4.96E-06	1.14E-05	0.000369385	0.000173172	6.07E-05	4.92E-06	0.011984057	0.0070031	0.003128463	0.057130995	0	0.00228825	0.000128738	9.28E-06	1.61E-06	2.65E-06	0.135818789	0.079351812	0.000414404	7.68E-05	2.32E-05	0.001109699	8.79E-05	0.041139977	0.00031563	0.000352892	4.52E-05	0.000123337	0.000819299	0.000308144	2.52E-06	Human	Bantu
HU508_S26	1.15E-06	1.27E-06	3.17E-06	0	3.89E-06	0	0.048151027	0	0.000315497	6.15E-05	0	1.87E-06	3.57E-06	1.26E-05	0	0	1.82E-05	0	0.000172412	0	0.077146349	0.043633153	5.86E-05	2.09E-05	3.40E-06	1.02E-05	0.000153941	3.16E-05	4.72E-05	2.14E-05	0.016885466	0.003052859	0.002204022	0.009457903	0	0.003397066	4.90E-05	0	5.83E-07	3.77E-06	0.128570171	0.06819781	0.000571243	0.000133464	4.58E-05	0.00014017	1.66E-05	0.005114345	5.64E-05	3.37E-05	1.72E-05	7.72E-05	8.42E-05	5.38E-05	0	Human	Bantu
HU99_S16	3.38E-06	5.60E-07	4.94E-06	0	5.06E-06	0	0.009196035	0	0.000116585	3.81E-05	0	1.04E-06	2.38E-06	2.08E-05	0	1.50E-05	1.53E-05	1.12E-06	0.000187113	0	0.153778123	0.044810503	0.000175272	2.32E-05	4.57E-07	7.54E-06	0.000200359	0.000157352	2.11E-05	9.26E-07	0.098845395	0.003811304	0.000456878	0.027954157	0	0.000749273	5.34E-05	0	9.14E-08	4.46E-07	0.146255621	0.026211789	0.000194541	6.88E-05	1.09E-05	0.000214976	4.46E-05	0.019540722	0.000262783	0.000143157	3.32E-05	3.37E-05	0.000408672	0.000320464	1.38E-06	Human	Bantu
