CaZy	Bin.89
CBM0	1
CBM20	1
CBM32	1
CBM50	2
CBM6	1
CE1	1
CE11	1
CE12	4
CE2	1
CE4	1
CE7	1
CE8	1
GH105	1
GH106	1
GH115	2
GH13	6
GH130	1
GH133	1
GH16	1
GH2	6
GH25	1
GH28	3
GH29	1
GH3	7
GH31	2
GH32	2
GH36	1
GH37	1
GH43	3
GH5	3
GH51	3
GH57	1
GH67	1
GH88	1
GH89	1
GH94	1
GH97	2
GT0	1
GT14	1
GT19	1
GT2	7
GT28	1
GT4	3
GT5	1
GT51	2
GT9	1
PL1	1
PL11	1
