Groups	Bray-dist
Wet_Wet	0.141197715
Wet_Wet	0.157083987
Wet_Wet	0.128089638
Wet_Wet	0.142681621
Wet_Wet	0.151385566
Wet_Wet	0
Wet_Wet	0.143385536
Wet_Wet	0.161073415
Wet_Wet	0.12123599
Wet_Wet	0.137336634
Wet_Wet	0.179840042
Wet_Wet	0.115135835
Wet_Wet	0.093655185
Wet_Wet	0.101572151
Wet_Wet	0.074842709
Wet_Wet	0.066699314
Wet_Wet	0.109147974
Wet_Wet	0.143385536
Wet_Wet	0
Wet_Wet	0.114573717
Wet_Wet	0.106066702
Wet_Wet	0.118277651
Wet_Wet	0.150535012
Wet_Wet	0.124783007
Wet_Wet	0.064001205
Wet_Wet	0.091225433
Wet_Wet	0.107451774
Wet_Wet	0.102754154
Wet_Wet	0.14047411
Wet_Wet	0.161073415
Wet_Wet	0.114573717
Wet_Wet	0
BaAka_BaAka	0
BaAka_BaAka	0.13373078
BaAka_BaAka	0.128486654
BaAka_BaAka	0.124001479
BaAka_BaAka	0.120986596
BaAka_BaAka	0.200420731
BaAka_BaAka	0.122120298
BaAka_BaAka	0.159737792
BaAka_BaAka	0.144450274
BaAka_BaAka	0.120192148
BaAka_BaAka	0.159548993
BaAka_BaAka	0.148566516
BaAka_BaAka	0.151170283
BaAka_BaAka	0.183684036
BaAka_BaAka	0.13373078
BaAka_BaAka	0
BaAka_BaAka	0.08631387
BaAka_BaAka	0.081589415
BaAka_BaAka	0.090372459
BaAka_BaAka	0.138558953
BaAka_BaAka	0.094609417
BaAka_BaAka	0.095832526
BaAka_BaAka	0.10004505
BaAka_BaAka	0.10463668
BaAka_BaAka	0.112212847
BaAka_BaAka	0.099603523
BaAka_BaAka	0.117256154
BaAka_BaAka	0.158675299
BaAka_BaAka	0.128486654
BaAka_BaAka	0.08631387
BaAka_BaAka	0
BaAka_BaAka	0.072760835
BaAka_BaAka	0.065525127
BaAka_BaAka	0.152394377
BaAka_BaAka	0.078067227
BaAka_BaAka	0.097807298
BaAka_BaAka	0.105551102
BaAka_BaAka	0.077764387
BaAka_BaAka	0.094772154
BaAka_BaAka	0.088553742
BaAka_BaAka	0.092138175
BaAka_BaAka	0.141931895
BaAka_BaAka	0.124001479
BaAka_BaAka	0.081589415
BaAka_BaAka	0.072760835
BaAka_BaAka	0
BaAka_BaAka	0.058788547
BaAka_BaAka	0.148395448
BaAka_BaAka	0.07555962
