CaZy	Bin.148
CBM20	1
CBM35	1
CBM50	4
CBM57	1
CBM72	1
CE11	1
CE12	4
CE2	1
CE4	1
CE7	2
CE8	3
GH10	2
GH105	4
GH106	2
GH115	1
GH127	2
GH13	6
GH130	1
GH133	1
GH138	1
GH139	1
GH140	1
GH141	1
GH142	1
GH2	8
GH23	1
GH25	2
GH28	10
GH3	3
GH30	1
GH31	1
GH32	1
GH33	1
GH35	2
GH36	1
GH43	11
GH5	2
GH51	3
GH53	1
GH57	1
GH67	1
GH78	2
GH94	1
GH95	3
GH97	3
GT0	2
GT2	15
GT26	1
GT28	1
GT3	1
GT30	1
GT4	7
GT5	1
GT51	3
GT9	2
PL1	1
PL11	1
