Xeno	X2009_106	X2009_107	X2009_109	X2009_110	X2009_111	X2009_115	X2009_118	X2009_173	X2009_193	X2009_245	X2009_265	X2011_109	X2011_118	X2011_119	X2011_149	X2011_56	X2011_60	X2011_62	X2011_66	X2011_69	X2011_70	X2011_79	X2011_85	HU100_S17	HU101_S15	HU103_S22	HU107_S1	HU108_S18	HU109_S19	HU112_S2	HU113_S3	HU114_S27	HU115_S28	HU117_S4	HU118_S5	HU119_S20	HU122_S6	HU123_S7	HU124_S23	HU500_S8	HU502_S24	HU503_S9	HU504_S25	HU505_S21	HU506_S10	HU508_S26	HU537_S11	HU538_S12	HU539_S13	HU540_S14	HU99_S16
P32320	0.00238515387151195	0.00376586731606308	0.00670988385562603	0.00413400271725311	0.00325524495190955	0.00241041102783335	0.00276961748717381	0.00559040282382122	0.00323322480020037	0.00391704834086481	0.00828632519174213	0.0179516747566307	0.00539396657810901	0.00482852934988428	0.0112856004327592	0.008209773006821	0.00392425647435122	0.00623603228605877	0.00718855609240583	0.0213236327700703	0.00706475051900638	0.00601908803292442	0.00788696159025587	0.0251490807046362	0.0198079854432855	0.0142980209820744	0.0112269939908109	0.0175782399892344	0.0131192611573778	0.018611993098019	0.0120709633595717	0.0192240088967697	0.0126643137576187	0.00589228034682846	0.0142809082546929	0.0182266122225517	0.0112532793836277	0.00707221500151602	0.0141731390668405	0.0182955840107809	0.0185201928555959	0.0148281028842216	0.00285659616332212	0.0225477012380706	0.00800808530450483	0.0157839138964395	0.0152210042942368	0.00883016138467026	0.0132198612468106	0.00738181152230744	0.0117559290089524
O94808	0	0.000539543429600518	0	0	0.00104055346194949	0.00166780965057156	0.000282691991794292	0.00035297765269861	0	0.00150969571470831	0.000810023862865149	0.00114242806189493	0.000799319141105706	0.000778455712181779	0.00167652900684239	0.00213351224421335	0.00298351005926702	0.0023231524218384	0.00244813861634551	0.0129321911885604	0.000331090271315055	0.000771195654218441	0.000594938998653347	0.000731500731500732	0.00428029124069921	0.00673125715432091	0.000461299059154942	0.000689672573740296	0.00133239020570859	0.00135502719114742	0.00356614855955568	0.00106345581131066	0.0010564374772273	0.000274673758883979	0.000862347971246553	0.00132593471268563	0.00175445563983899	0.000984934366677546	0.00179461264322201	0.00141447444559032	0	0.000935829570140555	0	0.00118614942441339	0.00903464643826439	0.00136376593156205	0.000949151239756754	0.0024272021398214	0.00123886776272783	0.00156772932821087	0.00101892571069577
Q99707	0.0337169617405806	0.0204333846142629	0.0192160582601512	0.0144799075843329	0.0254091906181449	0.0129447999642902	0.0195286684061138	0.0181878890505378	0.0145085270611808	0.0117919476094784	0.016204126013442	0.00835635173911877	0.00980459809773546	0.00383442036608457	0.00687129129897963	0.011219948563122	0.00782163447970003	0.00970732119406193	0.0127957058736319	0.00492411495849005	0.007583756890257	0.0143179056583189	0.0112757019677205	0.0140739029627919	0.00458621634491326	0.0116782119213113	0.0423903082092778	0.034521476572159	0.00468672147483808	0.0318320652184855	0.0312642346266033	0.00868673156473927	0.0108144701750452	0.0324748898003598	0.0323987326678704	0.0175080411524511	0.0187570230789178	0.0403243717180926	0.0128320668737574	0.0274562348747676	0.010452302303039	0.0261850816841822	0.0254028782703962	0.00854418623849423	0.0339332962378351	0.00756405694281686	0.0208870913510034	0.0296337109250795	0.0272568480392502	0.0349307804233071	0.0087168211088425
P03697	0	5.46834557027553e-05	0.000384670865990287	0	0	0	5.73024307691132e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.64289503086664e-05	0	0.00156994601439046	0	0	0	3.15399042869039e-05	0	0.000354360751325329	0	0	0	0.000427857201338505	0	0.00703458265848483	0	0.000538817035888304	0.000142708848535084	7.45813798583983e-05	0.00111230495238536	0.000609196534579032	0.0011429771252178	6.30006104541909e-05	0	0.00027387102723992	0.000480339696233176	7.03888620548207e-05	0	0.000146911734222586	0
P49915	0.00226880490216991	0.00647087559149271	0.00164359370014032	0.00204883790204811	0.00232718375611677	0.00269446619946353	0.000702909817434456	0.00306231963557442	0.00116578246317084	0.00547264696581762	0.00193019199754804	0.00175923194507764	0.00374357381913536	0.000962549968440984	0.00333654048652377	0.00379738342837974	0.00950153879235034	0.0157014384345408	0.0199994677959531	0.00791010508470241	0.00621465387644069	0.00775709970243134	0.00633529636403835	0.00220733554066887	0.00160677185169815	0.000849667803490717	0	0.00120061902318814	0.000618371414335539	0.000734895876328098	0.000940983737563431	0.00250055825902777	0.00206328707287047	0.000604810488311838	0.00145215139849419	0.00120617286766886	0.00171707709092099	0.000365005088827561	0.00294996784163619	0.000727811396549199	0	0.0012806088854555	0.000403005267854573	0.00142294482232742	0.000136269177047728	0.00155379888923873	0.00228833831285485	0.000825248727539276	0.000699389176688902	0.000229423804128421	0.000490811999371761
Q06830	0	0.000131240293686612	0.000104910236179169	0.000174369183153031	0.000168738399235052	9.73903445589227e-05	0.000179547616409888	0.00242314388609316	0.00258202600241353	0.000545734599573613	0.000390416906876446	0.000842071388345088	0.00143187385708864	0.0107931832526825	0.0030392249976256	0.00360058146036007	0.00302382776277064	0.00136701200359417	4.56174897455685e-05	0.00166550947125399	0.000742716014031069	4.51431602469331e-05	0.00186119429984122	0.000410667077333745	0.000340507942081727	0.000151052053953905	0	0	0	0.000128858455027393	0.000511447636552524	0	0.000689918352474974	0.00133375238688855	0	0.00292561078540958	0.00137132551342941	0.000123599606798751	0.000250229213869736	0.00214228584213951	0	0.000785474680755093	0	0.000556143319871481	0.00058141515540364	0	0.000317024199513896	8.98064791733921e-05	0.000697631917450992	0	0
P07203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000190158756150447	0	0.000205306020028743	0	0	0	0	0.00350512732632589	0	0	0.000315003052270955	0	0	0	0	0	0	0
Q99798	0.014810254222498	0.00725831735361239	0.00295060039253914	0.00215055325888738	0.00359975251701445	0.00401329378203229	0.00654393759383272	0.00482243793078776	0.00600651198797788	0.00524313241459509	0.0122817131639824	0.00346482876987852	0.00333528850245547	0.00116768356827267	0.000735029958664888	0.00215587610421559	0.00210995981668884	0.00245754966938277	0.00156620048126452	0.00139715372524631	0.00209392225642495	0.00629747085444717	0.00193355174562338	0.00549694994139437	0.00226916620777901	0.00723633745972931	0.0350279752251652	0.00313086116554663	0.00145250551640686	0.0270038999816779	0.0257481919526911	0.0036635057782573	0.0038721667532658	0.0269153872767945	0.0299011174326304	0.00447396035312633	0.0136805489039909	0.0296928742895437	0.0110394091462687	0.0214382890517106	0.00826764285969609	0.023312784831784	0.0220501453697573	0.00824439023012601	0.0288004905690374	0.00575315464025084	0.0159242216095222	0.0238933778644019	0.0188044311048943	0.0198833963577965	0.00685173551122978
